A,B,C,D,E
0.10439943653229289,0.6688358391633433,0.22244354114538423,0.3718255069921712,0.8554142511759946
0.6222608371318628,0.7046513671014907,0.2990167467206931,0.5488974679249727,0.3583912329187704
0.7416052378880573,0.23980160601456857,0.10592653822214304,0.8228716568205897,0.6982480264128014
0.0855073651878766,0.15133923057201382,0.8774580200633555,0.3351080455163252,0.8362768651775534
0.9427130385366216,0.7695689732019301,0.7145418310150627,0.2119672444838855,0.4481031544920888
0.95924877380558,0.3246402380746579,0.5973694042268552,0.9424236022283937,0.7583641852746188
0.7777886491707956,0.890435192226307,0.7926887643783047,0.8248656688482064,0.6776619894055554
0.22249876822130876,0.4664060055549215,0.8187886530376642,0.924043343891094,0.770513066709217
0.2499564593918122,0.43198804447294337,0.3474030919577167,0.33792468096359196,0.08726590442709192
0.4384357399747755,0.7797550946235658,0.7657357035122703,0.8375719422073893,0.8698279655542688
0.7690543396065239,0.19868020926534868,0.35705381652136703,0.030304120282850455,0.2439480310238744
0.6328857780142105,0.7164862650645175,0.3969627443379169,0.60909536574616,0.20037548093964896
0.38404588847246124,0.601297057844051,0.8016088797042271,0.5945894363064713,0.5545450831328496
0.7986719613381151,0.5056525036973079,0.2433943181349808,0.8252819071963234,0.19755912936958664
0.6046434134323829,0.9596438286315255,0.4677517965382001,0.8071864946393741,0.5792690356652025
0.21711270995608845,0.3060248484082353,0.46371915833305544,0.6486627979778221,0.2897648145798617
0.679593137305249,0.7626594307664419,0.6587979718206135,0.6399354026079652,0.45231182396194214
0.44723673209960246,0.08699187479578441,0.8246070133666327,0.4604326334566933,0.2662238258147679
0.993579120392688,0.7526911154497491,0.9014733321867859,0.9732920894346283,0.15643266210034212
0.6042653538428642,0.05729229985194639,0.11635889881467909,0.7896907904154586,0.1473584645323942
0.6873156870762986,0.8560026585401533,0.3718644737181682,0.3564600155631218,0.6612240421655358
0.9660166859245713,0.32004147972775243,0.29614281024291944,0.8760713840753003,0.008380772603614695
0.9825091199662159,0.22283734033253266,0.5475281577721569,0.212583027666447,0.6661477052391914
0.9768691500696529,0.18755983505659501,0.22593802790181416,0.46831992689383717,0.001144860725665553
0.060498687578523724,0.5790902346247551,0.2693289639573774,0.6415123677248927,0.8544503734793033
0.8114960426225152,0.29956122142737274,0.76620712521297,0.0030383623845994245,0.7818439564055683
0.6839639069331108,0.11633905627678176,0.2765774658578838,0.272683898012108,0.696597434668326
0.03986298619424833,0.983697717180281,0.7136120579948235,0.06105296341301114,0.2921829603335283
0.3557487914629949,0.9249731381143312,0.4663558490972779,0.963409447236202,0.4050487158785313
0.5329672672418083,0.2435516658397573,0.18261827316909696,0.4118358269562006,0.20387182554356686
0.12059309223220072,0.3411561820258828,0.21986857033502938,0.5566591120322479,0.3451983468892872
0.3423307026449218,0.705768453699785,0.5874694745108008,0.5112171689461684,0.43849530597273323
0.4691442104009902,0.164262899465771,0.4618095268269229,0.3393271235237987,0.19574442004478443
0.3445929680062555,0.19426548302589475,0.5725738289765651,0.8689710056781255,0.3761679207866655
0.27584201550864873,0.13019745407222738,0.32192972164455735,0.6290788156212259,0.7617692592640269
0.39939544137751193,0.8361362439032303,0.4914974022618481,0.9860889712870894,0.545751927535639
0.7551195481955544,0.8169554764402447,0.3883455141691281,0.12293702868790446,0.7096182323555373
0.27535266356816157,0.9051566940450075,0.6187950094095637,0.03971867582384658,0.751449696974678
0.8956879383412009,0.23662847636733608,0.42240572904715434,0.2839606587553688,0.3644391372485316
0.19358950201765734,0.4138462237735212,0.8471796982430976,0.5201435331357642,0.16326307767593007
0.06689987759708016,0.8814134727363131,0.17141408088911092,0.06608900991294708,0.676267145646285
0.5808424805599258,0.4990788596301008,0.8046917276292012,0.6341112648268634,0.0858915972408748
0.7292368007367633,0.9580203599164805,0.9154902305342052,0.08381485866768701,0.029354538040780587
0.48120800023525045,0.18450277046734442,0.9650016506378065,0.7827242544037221,0.7538948750969491
0.43015222157736677,0.46603070959794246,0.5353803818984881,0.17719745195090064,0.7043037452687254
0.7622297301382862,0.8437475102985288,0.5884309678984384,0.013022938374494197,0.9503011136089428
0.36644698592544933,0.2296182062501323,0.7694643389585695,0.8493117239160946,0.1944258394114411
0.7098050238999583,0.9531558012626388,0.9246132679616729,0.9783068270911052,0.10723380932373228
0.155311846422322,0.9901652688277696,0.14928505009114357,0.0773799796981639,0.7613914874523074
0.42668166180908207,0.01983261255281532,0.1720831675836031,0.44603455618777565,0.8839032016253535
0.7165971102766834,0.0057616305880136,0.7782563688015929,0.4516076384274742,0.3532578698842377
0.884132728042439,0.9706480901385858,0.7537840163293192,0.7160104404942302,0.5501214008013204
0.80716221742095,0.2954626156590706,0.17106272382224763,0.8192838148546878,0.3509894754199038
0.5825721022620994,0.11790015202128201,0.1456279940733919,0.8581003971797294,0.4117706063767901
0.2940078396565824,0.03468888481909971,0.3858251227883591,0.8110120483939768,0.8430445464738933
0.9970688347200224,0.9726496252232295,0.6578366464370627,0.9168643199687695,0.0670952680077389
0.8393022288071573,0.24049990068724114,0.24944110807140407,0.9202838865975759,0.0007942142533897689
0.7099555473781562,0.6305332980715808,0.6477005316664104,0.7028943793489565,0.33059748813386314
0.2864254716325889,0.993123950205482,0.3224573228744796,0.8831766050382072,0.8147234189401323
0.5848479582643522,0.740600215471513,0.44343792123961845,0.9308813803403704,0.5683086662282744
0.7326803589018129,0.6126437451966517,0.23890584877568255,0.4087886686826706,0.927149033870847
0.4252178819151935,0.3126495610563649,0.2774904584012351,0.18440524798287072,0.20890206319006288
0.5064788991524631,0.5939054358486302,0.44341275890707643,0.29948077561206876,0.11448225978587268
0.7263718182731089,0.5212541916904109,0.9195131514927091,0.30232325144944716,0.5273877716885829
0.2932983718668458,0.22038545233998863,0.6743514606533694,0.49727839158110443,0.40758186224249104
0.6841031097904842,0.6178876255905885,0.8380539990937069,0.21557418200564826,0.15013780775588303
