Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
206.0000,43.0000,male,2.0000,own,little,nan,1935.0000,12.0000,furniture/equipment
207.0000,26.0000,male,2.0000,own,little,moderate,1424.0000,12.0000,domestic appliances
209.0000,55.0000,male,2.0000,own,rich,nan,1413.0000,12.0000,car
210.0000,33.0000,male,2.0000,own,nan,nan,3074.0000,9.0000,radio/TV
211.0000,45.0000,female,1.0000,own,nan,nan,3835.0000,36.0000,radio/TV
212.0000,50.0000,male,2.0000,own,little,little,5293.0000,27.0000,business
214.0000,51.0000,male,2.0000,own,nan,nan,3342.0000,36.0000,radio/TV
215.0000,39.0000,female,1.0000,own,nan,moderate,932.0000,6.0000,education
216.0000,31.0000,male,2.0000,own,little,little,3104.0000,18.0000,business
217.0000,23.0000,male,2.0000,own,little,rich,3913.0000,36.0000,radio/TV
218.0000,24.0000,male,1.0000,rent,little,little,3021.0000,24.0000,furniture/equipment
219.0000,64.0000,female,2.0000,own,little,nan,1364.0000,10.0000,car
220.0000,26.0000,male,1.0000,own,little,moderate,625.0000,12.0000,radio/TV
221.0000,23.0000,female,2.0000,rent,nan,little,1200.0000,12.0000,education
222.0000,30.0000,male,2.0000,own,little,nan,707.0000,12.0000,radio/TV
223.0000,32.0000,male,2.0000,own,nan,nan,2978.0000,24.0000,business
224.0000,30.0000,male,2.0000,own,little,nan,4657.0000,15.0000,car
225.0000,27.0000,male,2.0000,own,little,nan,2613.0000,36.0000,repairs
228.0000,22.0000,male,2.0000,own,little,nan,1478.0000,9.0000,radio/TV
229.0000,22.0000,male,2.0000,free,little,little,3149.0000,24.0000,furniture/equipment
230.0000,26.0000,male,2.0000,own,little,rich,4210.0000,36.0000,radio/TV
231.0000,51.0000,male,1.0000,free,quite rich,nan,2507.0000,9.0000,car
232.0000,35.0000,male,2.0000,own,moderate,nan,2141.0000,12.0000,radio/TV
233.0000,25.0000,male,1.0000,own,little,moderate,866.0000,18.0000,radio/TV
234.0000,42.0000,male,1.0000,own,little,nan,1544.0000,4.0000,radio/TV
235.0000,30.0000,male,3.0000,own,little,little,1823.0000,24.0000,radio/TV
237.0000,61.0000,male,1.0000,rent,moderate,moderate,2767.0000,21.0000,business
238.0000,35.0000,female,2.0000,own,little,nan,1291.0000,12.0000,radio/TV
239.0000,39.0000,male,2.0000,own,little,little,2522.0000,30.0000,radio/TV
240.0000,29.0000,female,2.0000,own,nan,little,915.0000,24.0000,car
241.0000,51.0000,male,2.0000,own,little,nan,1595.0000,6.0000,radio/TV
242.0000,24.0000,male,2.0000,free,little,little,4605.0000,48.0000,car
243.0000,27.0000,female,2.0000,own,little,nan,1185.0000,12.0000,business
244.0000,35.0000,female,1.0000,own,quite rich,nan,3447.0000,12.0000,education
245.0000,25.0000,male,2.0000,own,little,nan,1258.0000,24.0000,business
246.0000,52.0000,male,2.0000,own,little,nan,717.0000,12.0000,radio/TV
247.0000,35.0000,male,2.0000,rent,moderate,nan,1204.0000,6.0000,car
248.0000,26.0000,male,2.0000,own,little,rich,1925.0000,24.0000,furniture/equipment
249.0000,22.0000,female,2.0000,rent,little,nan,433.0000,18.0000,radio/TV
250.0000,39.0000,female,1.0000,own,rich,little,666.0000,6.0000,car
251.0000,46.0000,female,1.0000,own,little,rich,2251.0000,12.0000,furniture/equipment
252.0000,24.0000,female,2.0000,own,little,moderate,2150.0000,30.0000,car
253.0000,35.0000,male,2.0000,own,moderate,nan,4151.0000,24.0000,furniture/equipment
254.0000,24.0000,male,2.0000,own,nan,moderate,2030.0000,9.0000,furniture/equipment
256.0000,35.0000,male,1.0000,own,little,nan,2684.0000,24.0000,radio/TV
257.0000,29.0000,male,2.0000,free,little,little,2149.0000,12.0000,radio/TV
258.0000,23.0000,female,2.0000,own,moderate,nan,3812.0000,15.0000,car
259.0000,57.0000,female,1.0000,own,moderate,nan,1154.0000,11.0000,radio/TV
260.0000,27.0000,male,2.0000,own,little,little,1657.0000,12.0000,furniture/equipment
261.0000,55.0000,female,2.0000,own,little,little,1603.0000,24.0000,radio/TV
262.0000,36.0000,male,3.0000,free,little,little,5302.0000,18.0000,car
263.0000,57.0000,female,1.0000,free,little,nan,2748.0000,12.0000,education
264.0000,32.0000,male,1.0000,own,little,nan,1231.0000,10.0000,car
265.0000,37.0000,male,2.0000,own,little,moderate,802.0000,15.0000,radio/TV
266.0000,36.0000,male,2.0000,own,nan,nan,6304.0000,36.0000,business
267.0000,38.0000,female,2.0000,own,little,nan,1533.0000,24.0000,radio/TV
269.0000,25.0000,male,2.0000,own,nan,nan,999.0000,24.0000,radio/TV
270.0000,32.0000,male,2.0000,own,nan,nan,2662.0000,18.0000,car
271.0000,37.0000,female,2.0000,rent,quite rich,nan,1402.0000,12.0000,furniture/equipment
273.0000,28.0000,male,2.0000,own,little,moderate,3060.0000,48.0000,radio/TV
275.0000,32.0000,male,2.0000,own,little,nan,2697.0000,9.0000,radio/TV
276.0000,26.0000,female,2.0000,own,little,nan,2404.0000,18.0000,radio/TV
277.0000,49.0000,male,1.0000,own,nan,little,1262.0000,12.0000,furniture/equipment
278.0000,32.0000,female,2.0000,own,little,nan,4611.0000,6.0000,furniture/equipment
279.0000,29.0000,male,3.0000,rent,moderate,nan,1901.0000,24.0000,radio/TV
280.0000,23.0000,male,2.0000,rent,rich,nan,3368.0000,15.0000,car
281.0000,50.0000,male,2.0000,own,little,nan,1574.0000,12.0000,furniture/equipment
282.0000,49.0000,male,1.0000,own,nan,rich,1445.0000,18.0000,radio/TV
283.0000,63.0000,male,2.0000,own,nan,nan,1520.0000,15.0000,furniture/equipment
284.0000,37.0000,male,2.0000,own,moderate,moderate,3878.0000,24.0000,car
286.0000,26.0000,male,2.0000,own,little,little,4788.0000,48.0000,car
288.0000,49.0000,female,2.0000,own,little,moderate,1092.0000,12.0000,radio/TV
289.0000,48.0000,male,2.0000,own,little,little,1024.0000,24.0000,radio/TV
290.0000,26.0000,male,2.0000,own,little,nan,1076.0000,12.0000,business
292.0000,44.0000,female,3.0000,free,little,little,6419.0000,24.0000,car
293.0000,56.0000,male,2.0000,free,little,rich,4796.0000,42.0000,car
296.0000,20.0000,female,2.0000,rent,nan,nan,4675.0000,12.0000,car
297.0000,45.0000,male,1.0000,own,nan,nan,1287.0000,10.0000,car
298.0000,43.0000,male,2.0000,own,little,nan,2515.0000,18.0000,furniture/equipment
299.0000,32.0000,male,2.0000,own,rich,moderate,2745.0000,21.0000,furniture/equipment
301.0000,42.0000,female,2.0000,own,little,moderate,3804.0000,36.0000,radio/TV
302.0000,37.0000,male,1.0000,own,nan,rich,1344.0000,24.0000,car
303.0000,49.0000,male,2.0000,own,little,little,1038.0000,10.0000,car
305.0000,33.0000,male,2.0000,own,rich,nan,1543.0000,6.0000,furniture/equipment
306.0000,24.0000,female,1.0000,rent,nan,nan,4811.0000,30.0000,car
307.0000,33.0000,male,1.0000,own,moderate,little,727.0000,12.0000,radio/TV
308.0000,24.0000,female,2.0000,own,little,moderate,1237.0000,8.0000,furniture/equipment
309.0000,22.0000,male,1.0000,rent,little,moderate,276.0000,9.0000,car
311.0000,25.0000,male,2.0000,own,moderate,nan,5511.0000,24.0000,furniture/equipment
312.0000,26.0000,female,2.0000,own,little,rich,3749.0000,24.0000,furniture/equipment
313.0000,25.0000,male,1.0000,own,little,moderate,685.0000,12.0000,car
314.0000,29.0000,male,1.0000,own,nan,rich,1494.0000,4.0000,car
315.0000,31.0000,male,2.0000,own,little,little,2746.0000,36.0000,furniture/equipment
316.0000,38.0000,male,1.0000,own,little,little,708.0000,12.0000,furniture/equipment
317.0000,48.0000,female,1.0000,own,nan,moderate,4351.0000,24.0000,furniture/equipment
318.0000,32.0000,male,2.0000,own,little,nan,701.0000,12.0000,education
319.0000,27.0000,female,1.0000,own,little,little,3643.0000,15.0000,furniture/equipment
320.0000,28.0000,male,3.0000,own,little,moderate,4249.0000,30.0000,car
321.0000,32.0000,male,2.0000,own,little,little,1938.0000,24.0000,radio/TV
322.0000,34.0000,male,3.0000,free,little,little,2910.0000,24.0000,car
323.0000,28.0000,male,2.0000,own,rich,little,2659.0000,18.0000,furniture/equipment
324.0000,36.0000,female,2.0000,own,little,nan,1028.0000,18.0000,car
325.0000,39.0000,male,1.0000,own,little,little,3398.0000,8.0000,car
326.0000,49.0000,male,2.0000,rent,nan,nan,5801.0000,12.0000,furniture/equipment
327.0000,34.0000,female,2.0000,own,rich,nan,1525.0000,24.0000,car
328.0000,31.0000,male,2.0000,own,little,rich,4473.0000,36.0000,radio/TV
329.0000,28.0000,male,2.0000,own,little,moderate,1068.0000,6.0000,radio/TV
331.0000,30.0000,female,2.0000,own,moderate,nan,1864.0000,18.0000,education
334.0000,23.0000,male,2.0000,rent,little,little,4110.0000,24.0000,furniture/equipment
335.0000,44.0000,male,3.0000,rent,little,little,3384.0000,6.0000,furniture/equipment
336.0000,23.0000,female,1.0000,own,little,moderate,2101.0000,13.0000,radio/TV
337.0000,24.0000,female,2.0000,rent,nan,little,1275.0000,15.0000,domestic appliances
338.0000,28.0000,male,2.0000,own,little,little,4169.0000,24.0000,furniture/equipment
339.0000,31.0000,male,1.0000,own,little,moderate,1521.0000,10.0000,furniture/equipment
340.0000,24.0000,female,2.0000,free,little,moderate,5743.0000,24.0000,education
341.0000,26.0000,female,1.0000,rent,little,little,3599.0000,21.0000,furniture/equipment
342.0000,25.0000,male,2.0000,rent,quite rich,moderate,3213.0000,18.0000,radio/TV
343.0000,33.0000,male,3.0000,own,little,moderate,4439.0000,18.0000,business
344.0000,37.0000,male,1.0000,own,little,rich,3949.0000,10.0000,car
345.0000,43.0000,female,1.0000,own,little,nan,1459.0000,15.0000,radio/TV
346.0000,23.0000,male,2.0000,own,little,moderate,882.0000,13.0000,radio/TV
348.0000,34.0000,male,1.0000,own,moderate,nan,1743.0000,6.0000,business
349.0000,32.0000,male,2.0000,free,rich,moderate,1136.0000,9.0000,education
350.0000,23.0000,female,2.0000,rent,little,nan,1236.0000,9.0000,domestic appliances
351.0000,29.0000,female,2.0000,own,little,moderate,959.0000,9.0000,furniture/equipment
352.0000,38.0000,male,3.0000,own,nan,nan,3229.0000,18.0000,car
353.0000,28.0000,male,2.0000,rent,little,little,6199.0000,12.0000,radio/TV
354.0000,46.0000,male,2.0000,free,quite rich,nan,727.0000,10.0000,education
355.0000,23.0000,male,1.0000,own,little,moderate,1246.0000,24.0000,car
356.0000,49.0000,male,2.0000,own,nan,nan,2331.0000,12.0000,radio/TV
357.0000,26.0000,male,3.0000,own,little,nan,4463.0000,36.0000,radio/TV
358.0000,28.0000,male,2.0000,own,little,nan,776.0000,12.0000,radio/TV
359.0000,23.0000,female,2.0000,rent,little,little,2406.0000,30.0000,furniture/equipment
360.0000,61.0000,male,2.0000,free,nan,moderate,1239.0000,18.0000,education
361.0000,37.0000,male,3.0000,own,nan,rich,3399.0000,12.0000,radio/TV
362.0000,36.0000,female,2.0000,own,little,rich,2247.0000,12.0000,car
363.0000,21.0000,male,2.0000,rent,little,nan,1766.0000,6.0000,furniture/equipment
365.0000,36.0000,male,2.0000,own,little,nan,1542.0000,12.0000,business
366.0000,27.0000,male,2.0000,own,little,nan,3850.0000,18.0000,car
367.0000,22.0000,female,2.0000,rent,little,little,3650.0000,18.0000,furniture/equipment
368.0000,42.0000,male,2.0000,own,little,little,3446.0000,36.0000,furniture/equipment
369.0000,40.0000,female,2.0000,rent,little,moderate,3001.0000,18.0000,furniture/equipment
370.0000,36.0000,male,2.0000,own,nan,nan,3079.0000,36.0000,car
371.0000,33.0000,male,2.0000,own,little,nan,6070.0000,18.0000,radio/TV
372.0000,23.0000,female,2.0000,rent,little,nan,2146.0000,10.0000,furniture/equipment
375.0000,37.0000,female,2.0000,rent,little,little,7685.0000,48.0000,business
376.0000,34.0000,male,2.0000,own,little,nan,2320.0000,18.0000,radio/TV
377.0000,36.0000,male,2.0000,free,nan,nan,846.0000,7.0000,radio/TV
379.0000,52.0000,female,1.0000,own,moderate,nan,362.0000,6.0000,car
380.0000,39.0000,male,2.0000,own,nan,little,2212.0000,20.0000,furniture/equipment
382.0000,25.0000,female,2.0000,rent,nan,nan,1283.0000,22.0000,car
383.0000,26.0000,male,2.0000,own,little,rich,1330.0000,12.0000,car
384.0000,26.0000,male,1.0000,own,moderate,nan,4272.0000,30.0000,business
385.0000,25.0000,female,2.0000,own,little,nan,2238.0000,18.0000,radio/TV
386.0000,21.0000,female,2.0000,rent,nan,nan,1126.0000,18.0000,radio/TV
387.0000,40.0000,male,3.0000,own,little,moderate,7374.0000,18.0000,furniture/equipment
388.0000,27.0000,male,2.0000,own,quite rich,moderate,2326.0000,15.0000,business
389.0000,27.0000,female,2.0000,own,little,nan,1449.0000,9.0000,business
390.0000,30.0000,male,3.0000,own,little,nan,1820.0000,18.0000,car
391.0000,19.0000,female,1.0000,rent,rich,moderate,983.0000,12.0000,furniture/equipment
392.0000,39.0000,male,3.0000,free,little,little,3249.0000,36.0000,car
393.0000,31.0000,female,2.0000,own,little,little,1957.0000,6.0000,radio/TV
394.0000,31.0000,male,3.0000,own,little,nan,2406.0000,9.0000,furniture/equipment
396.0000,55.0000,female,3.0000,free,little,little,2578.0000,12.0000,furniture/equipment
397.0000,46.0000,male,2.0000,own,little,little,2348.0000,36.0000,furniture/equipment
398.0000,46.0000,male,2.0000,rent,little,moderate,1223.0000,12.0000,car
399.0000,43.0000,female,1.0000,own,rich,nan,1516.0000,24.0000,radio/TV
400.0000,39.0000,male,2.0000,own,little,nan,1473.0000,18.0000,radio/TV
401.0000,28.0000,male,2.0000,own,nan,moderate,1887.0000,18.0000,business
402.0000,27.0000,male,2.0000,own,little,nan,8648.0000,24.0000,business
403.0000,27.0000,male,1.0000,own,little,nan,802.0000,14.0000,car
404.0000,43.0000,male,2.0000,own,nan,moderate,2899.0000,18.0000,car
405.0000,22.0000,male,2.0000,own,little,moderate,2039.0000,24.0000,radio/TV
406.0000,43.0000,male,2.0000,own,nan,nan,2197.0000,24.0000,car
407.0000,27.0000,male,2.0000,own,little,little,1053.0000,15.0000,radio/TV
408.0000,26.0000,male,3.0000,own,quite rich,nan,3235.0000,24.0000,radio/TV
409.0000,28.0000,male,2.0000,own,quite rich,rich,939.0000,12.0000,car
410.0000,20.0000,female,2.0000,own,little,moderate,1967.0000,24.0000,radio/TV
