age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
38.0000,management,married,tertiary,no,119.0000,yes,no,unknown,13.0000,may,568.0000,4.0000,-1.0000,0.0000,unknown,yes
23.0000,entrepreneur,single,primary,no,4.0000,yes,no,unknown,13.0000,may,395.0000,2.0000,-1.0000,0.0000,unknown,yes
60.0000,blue-collar,married,primary,no,1262.0000,yes,yes,unknown,13.0000,may,1015.0000,1.0000,-1.0000,0.0000,unknown,yes
48.0000,management,married,tertiary,no,1949.0000,yes,no,unknown,13.0000,may,683.0000,2.0000,-1.0000,0.0000,unknown,yes
45.0000,entrepreneur,divorced,tertiary,no,-395.0000,yes,no,unknown,13.0000,may,470.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,secondary,no,1165.0000,yes,no,unknown,13.0000,may,1001.0000,4.0000,-1.0000,0.0000,unknown,yes
52.0000,management,married,unknown,no,2240.0000,yes,no,unknown,13.0000,may,845.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,divorced,primary,no,300.0000,yes,no,unknown,13.0000,may,945.0000,2.0000,-1.0000,0.0000,unknown,yes
52.0000,housemaid,married,secondary,no,3923.0000,yes,no,unknown,14.0000,may,942.0000,3.0000,-1.0000,0.0000,unknown,yes
53.0000,technician,divorced,primary,no,1443.0000,yes,no,unknown,14.0000,may,476.0000,1.0000,-1.0000,0.0000,unknown,yes
48.0000,blue-collar,divorced,primary,no,24.0000,yes,no,unknown,14.0000,may,832.0000,1.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,single,primary,no,1618.0000,yes,no,unknown,14.0000,may,1553.0000,1.0000,-1.0000,0.0000,unknown,yes
39.0000,management,divorced,tertiary,no,517.0000,yes,yes,unknown,14.0000,may,1328.0000,1.0000,-1.0000,0.0000,unknown,yes
59.0000,retired,married,secondary,no,1521.0000,yes,yes,unknown,14.0000,may,1125.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,married,secondary,no,2823.0000,yes,no,unknown,14.0000,may,858.0000,1.0000,-1.0000,0.0000,unknown,yes
48.0000,blue-collar,married,secondary,no,1405.0000,yes,no,unknown,14.0000,may,629.0000,2.0000,-1.0000,0.0000,unknown,yes
40.0000,admin.,married,secondary,no,1535.0000,yes,no,unknown,14.0000,may,704.0000,1.0000,-1.0000,0.0000,unknown,yes
48.0000,blue-collar,married,secondary,no,1596.0000,yes,no,unknown,14.0000,may,760.0000,1.0000,-1.0000,0.0000,unknown,yes
60.0000,retired,married,primary,no,1542.0000,yes,no,unknown,14.0000,may,930.0000,1.0000,-1.0000,0.0000,unknown,yes
40.0000,technician,single,unknown,no,3652.0000,yes,no,unknown,14.0000,may,1028.0000,2.0000,-1.0000,0.0000,unknown,yes
57.0000,technician,married,tertiary,no,-1.0000,no,no,unknown,14.0000,may,850.0000,2.0000,-1.0000,0.0000,unknown,yes
51.0000,blue-collar,married,secondary,no,7180.0000,yes,no,unknown,14.0000,may,927.0000,1.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,married,secondary,no,1384.0000,yes,no,unknown,15.0000,may,1162.0000,4.0000,-1.0000,0.0000,unknown,yes
52.0000,blue-collar,divorced,primary,no,-191.0000,yes,no,unknown,15.0000,may,755.0000,1.0000,-1.0000,0.0000,unknown,yes
59.0000,blue-collar,married,primary,no,320.0000,yes,no,unknown,15.0000,may,695.0000,1.0000,-1.0000,0.0000,unknown,yes
44.0000,blue-collar,married,unknown,no,146.0000,yes,no,unknown,15.0000,may,483.0000,1.0000,-1.0000,0.0000,unknown,yes
49.0000,unknown,married,primary,no,341.0000,yes,yes,unknown,15.0000,may,520.0000,2.0000,-1.0000,0.0000,unknown,yes
40.0000,services,married,primary,no,-9.0000,yes,no,unknown,15.0000,may,920.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,admin.,married,primary,no,-306.0000,yes,no,unknown,15.0000,may,500.0000,1.0000,-1.0000,0.0000,unknown,yes
44.0000,technician,married,tertiary,no,4580.0000,yes,no,unknown,15.0000,may,911.0000,2.0000,-1.0000,0.0000,unknown,yes
60.0000,services,single,primary,no,313.0000,yes,no,unknown,15.0000,may,920.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,retired,divorced,primary,no,-233.0000,yes,no,unknown,15.0000,may,1156.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,married,primary,no,2453.0000,yes,no,unknown,15.0000,may,1052.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,services,single,unknown,no,281.0000,yes,no,unknown,16.0000,may,515.0000,1.0000,-1.0000,0.0000,unknown,yes
39.0000,technician,married,tertiary,no,94.0000,yes,yes,unknown,16.0000,may,813.0000,1.0000,-1.0000,0.0000,unknown,yes
31.0000,self-employed,single,tertiary,no,144.0000,yes,no,unknown,16.0000,may,676.0000,1.0000,-1.0000,0.0000,unknown,yes
26.0000,blue-collar,married,secondary,no,246.0000,yes,no,unknown,16.0000,may,1143.0000,3.0000,-1.0000,0.0000,unknown,yes
31.0000,blue-collar,married,secondary,no,92.0000,yes,no,unknown,16.0000,may,688.0000,1.0000,-1.0000,0.0000,unknown,yes
29.0000,admin.,single,secondary,no,163.0000,yes,yes,unknown,16.0000,may,803.0000,1.0000,-1.0000,0.0000,unknown,yes
37.0000,services,divorced,secondary,no,49.0000,yes,no,unknown,16.0000,may,619.0000,2.0000,-1.0000,0.0000,unknown,yes
33.0000,blue-collar,single,secondary,no,-416.0000,yes,no,unknown,16.0000,may,767.0000,2.0000,-1.0000,0.0000,unknown,yes
24.0000,technician,single,secondary,no,409.0000,yes,no,unknown,16.0000,may,912.0000,1.0000,-1.0000,0.0000,unknown,yes
50.0000,admin.,divorced,secondary,no,363.0000,yes,no,unknown,16.0000,may,1340.0000,1.0000,-1.0000,0.0000,unknown,yes
27.0000,technician,single,tertiary,no,3706.0000,yes,no,unknown,16.0000,may,897.0000,1.0000,-1.0000,0.0000,unknown,yes
54.0000,management,single,tertiary,no,4393.0000,yes,no,unknown,16.0000,may,1297.0000,3.0000,-1.0000,0.0000,unknown,yes
30.0000,technician,single,secondary,no,863.0000,yes,no,unknown,16.0000,may,1193.0000,5.0000,-1.0000,0.0000,unknown,yes
34.0000,blue-collar,married,primary,no,695.0000,yes,yes,unknown,16.0000,may,1064.0000,4.0000,-1.0000,0.0000,unknown,yes
37.0000,management,single,secondary,no,792.0000,yes,no,unknown,16.0000,may,1187.0000,4.0000,-1.0000,0.0000,unknown,yes
41.0000,admin.,single,secondary,no,1020.0000,yes,no,unknown,19.0000,may,882.0000,1.0000,-1.0000,0.0000,unknown,yes
47.0000,blue-collar,married,secondary,no,863.0000,yes,no,unknown,19.0000,may,943.0000,2.0000,-1.0000,0.0000,unknown,yes
31.0000,admin.,married,secondary,no,97.0000,yes,no,unknown,19.0000,may,607.0000,1.0000,-1.0000,0.0000,unknown,yes
31.0000,blue-collar,married,secondary,no,754.0000,yes,no,unknown,19.0000,may,1022.0000,4.0000,-1.0000,0.0000,unknown,yes
43.0000,services,divorced,secondary,no,1040.0000,yes,no,unknown,19.0000,may,552.0000,3.0000,-1.0000,0.0000,unknown,yes
37.0000,management,divorced,tertiary,no,122.0000,yes,no,unknown,19.0000,may,1622.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,technician,single,tertiary,no,880.0000,yes,yes,unknown,19.0000,may,967.0000,6.0000,-1.0000,0.0000,unknown,yes
41.0000,technician,married,secondary,no,501.0000,yes,no,unknown,19.0000,may,579.0000,5.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,secondary,no,4438.0000,yes,no,unknown,20.0000,may,446.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,divorced,secondary,no,0.0000,yes,no,unknown,20.0000,may,1205.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,married,primary,no,102.0000,yes,no,unknown,20.0000,may,1334.0000,1.0000,-1.0000,0.0000,unknown,yes
31.0000,blue-collar,married,secondary,no,2.0000,yes,no,unknown,20.0000,may,182.0000,2.0000,-1.0000,0.0000,unknown,yes
34.0000,technician,single,secondary,no,85.0000,yes,no,unknown,20.0000,may,1182.0000,4.0000,-1.0000,0.0000,unknown,yes
31.0000,admin.,single,secondary,no,431.0000,yes,yes,unknown,20.0000,may,1045.0000,1.0000,-1.0000,0.0000,unknown,yes
44.0000,technician,divorced,secondary,no,982.0000,yes,no,unknown,20.0000,may,650.0000,3.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,primary,no,408.0000,yes,yes,unknown,20.0000,may,1063.0000,2.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,married,unknown,no,4822.0000,yes,no,unknown,20.0000,may,843.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,married,primary,no,1250.0000,yes,no,unknown,20.0000,may,1392.0000,2.0000,-1.0000,0.0000,unknown,yes
31.0000,blue-collar,single,primary,no,216.0000,yes,no,unknown,21.0000,may,565.0000,1.0000,-1.0000,0.0000,unknown,yes
34.0000,blue-collar,married,secondary,no,1207.0000,yes,no,unknown,21.0000,may,905.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,technician,married,secondary,no,791.0000,yes,no,unknown,21.0000,may,783.0000,2.0000,-1.0000,0.0000,unknown,yes
36.0000,management,married,tertiary,no,849.0000,yes,yes,unknown,21.0000,may,958.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,blue-collar,single,secondary,yes,239.0000,yes,no,unknown,21.0000,may,412.0000,1.0000,-1.0000,0.0000,unknown,yes
37.0000,technician,single,secondary,no,1211.0000,yes,no,unknown,21.0000,may,795.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,primary,no,599.0000,yes,no,unknown,21.0000,may,649.0000,2.0000,-1.0000,0.0000,unknown,yes
31.0000,management,single,tertiary,no,825.0000,yes,no,unknown,21.0000,may,506.0000,2.0000,-1.0000,0.0000,unknown,yes
27.0000,technician,married,secondary,no,2183.0000,yes,yes,unknown,21.0000,may,857.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,technician,single,tertiary,no,4665.0000,yes,no,unknown,21.0000,may,860.0000,2.0000,-1.0000,0.0000,unknown,yes
37.0000,technician,single,secondary,no,3326.0000,yes,no,unknown,21.0000,may,799.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,blue-collar,married,secondary,no,783.0000,yes,no,unknown,21.0000,may,923.0000,3.0000,-1.0000,0.0000,unknown,yes
33.0000,blue-collar,married,secondary,no,0.0000,yes,no,unknown,21.0000,may,521.0000,3.0000,-1.0000,0.0000,unknown,yes
35.0000,self-employed,divorced,tertiary,no,1354.0000,yes,no,unknown,23.0000,may,736.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,blue-collar,single,secondary,no,239.0000,yes,no,unknown,23.0000,may,785.0000,1.0000,-1.0000,0.0000,unknown,yes
45.0000,blue-collar,divorced,primary,no,-311.0000,yes,no,unknown,23.0000,may,1030.0000,1.0000,-1.0000,0.0000,unknown,yes
45.0000,admin.,married,secondary,no,149.0000,yes,no,unknown,23.0000,may,893.0000,3.0000,-1.0000,0.0000,unknown,yes
33.0000,blue-collar,married,secondary,no,1464.0000,yes,no,unknown,23.0000,may,588.0000,3.0000,-1.0000,0.0000,unknown,yes
44.0000,management,divorced,tertiary,no,5773.0000,no,no,unknown,23.0000,may,597.0000,6.0000,-1.0000,0.0000,unknown,yes
40.0000,blue-collar,married,primary,no,278.0000,yes,no,unknown,23.0000,may,1015.0000,3.0000,-1.0000,0.0000,unknown,yes
31.0000,blue-collar,married,secondary,no,2910.0000,yes,no,unknown,23.0000,may,1392.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,technician,married,tertiary,no,541.0000,yes,no,unknown,26.0000,may,414.0000,2.0000,-1.0000,0.0000,unknown,yes
34.0000,services,married,secondary,no,-538.0000,yes,no,unknown,26.0000,may,682.0000,1.0000,-1.0000,0.0000,unknown,yes
37.0000,blue-collar,married,secondary,no,125.0000,no,no,unknown,26.0000,may,679.0000,2.0000,-1.0000,0.0000,unknown,yes
32.0000,admin.,single,secondary,no,620.0000,yes,no,unknown,26.0000,may,1234.0000,3.0000,-1.0000,0.0000,unknown,yes
37.0000,blue-collar,divorced,secondary,no,316.0000,yes,no,unknown,26.0000,may,642.0000,2.0000,-1.0000,0.0000,unknown,yes
34.0000,management,married,tertiary,no,2287.0000,yes,no,unknown,26.0000,may,895.0000,4.0000,-1.0000,0.0000,unknown,yes
38.0000,admin.,divorced,secondary,no,198.0000,yes,no,unknown,26.0000,may,431.0000,2.0000,-1.0000,0.0000,unknown,yes
28.0000,admin.,single,secondary,no,460.0000,yes,no,unknown,26.0000,may,741.0000,6.0000,-1.0000,0.0000,unknown,yes
59.0000,services,married,secondary,no,-22.0000,yes,no,unknown,26.0000,may,748.0000,3.0000,-1.0000,0.0000,unknown,yes
24.0000,blue-collar,married,secondary,no,685.0000,yes,no,unknown,26.0000,may,896.0000,3.0000,-1.0000,0.0000,unknown,yes
26.0000,services,single,secondary,no,901.0000,yes,no,unknown,26.0000,may,764.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,entrepreneur,single,primary,no,0.0000,yes,yes,unknown,27.0000,may,1051.0000,1.0000,-1.0000,0.0000,unknown,yes
37.0000,admin.,married,secondary,no,274.0000,yes,no,unknown,27.0000,may,731.0000,3.0000,-1.0000,0.0000,unknown,yes
30.0000,admin.,single,secondary,no,-213.0000,yes,yes,unknown,27.0000,may,751.0000,1.0000,-1.0000,0.0000,unknown,yes
25.0000,blue-collar,married,secondary,no,97.0000,yes,no,unknown,27.0000,may,709.0000,1.0000,-1.0000,0.0000,unknown,yes
29.0000,management,married,tertiary,no,314.0000,no,no,unknown,28.0000,may,938.0000,2.0000,-1.0000,0.0000,unknown,yes
26.0000,technician,single,secondary,no,668.0000,yes,no,unknown,28.0000,may,576.0000,3.0000,-1.0000,0.0000,unknown,yes
27.0000,services,single,secondary,no,54.0000,yes,no,unknown,28.0000,may,543.0000,2.0000,-1.0000,0.0000,unknown,yes
25.0000,self-employed,single,secondary,no,1242.0000,yes,no,unknown,28.0000,may,615.0000,2.0000,-1.0000,0.0000,unknown,yes
28.0000,management,married,secondary,no,292.0000,yes,no,unknown,28.0000,may,507.0000,1.0000,-1.0000,0.0000,unknown,yes
23.0000,services,single,secondary,no,665.0000,yes,no,unknown,28.0000,may,1183.0000,1.0000,-1.0000,0.0000,unknown,yes
34.0000,management,single,tertiary,no,1058.0000,yes,no,unknown,28.0000,may,864.0000,2.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,married,secondary,no,0.0000,yes,yes,unknown,29.0000,may,543.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,admin.,married,secondary,no,404.0000,yes,no,unknown,29.0000,may,539.0000,1.0000,-1.0000,0.0000,unknown,yes
56.0000,blue-collar,married,secondary,no,249.0000,yes,no,unknown,29.0000,may,791.0000,2.0000,-1.0000,0.0000,unknown,yes
45.0000,unemployed,divorced,secondary,no,3354.0000,yes,no,unknown,29.0000,may,746.0000,1.0000,-1.0000,0.0000,unknown,yes
56.0000,technician,married,secondary,no,589.0000,yes,no,unknown,29.0000,may,535.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,admin.,married,secondary,no,873.0000,yes,no,unknown,29.0000,may,792.0000,3.0000,-1.0000,0.0000,unknown,yes
45.0000,blue-collar,divorced,primary,no,594.0000,yes,no,unknown,29.0000,may,833.0000,2.0000,-1.0000,0.0000,unknown,yes
29.0000,blue-collar,single,secondary,no,-20.0000,yes,no,unknown,29.0000,may,814.0000,2.0000,-1.0000,0.0000,unknown,yes
30.0000,blue-collar,married,secondary,no,486.0000,yes,no,unknown,29.0000,may,1109.0000,3.0000,-1.0000,0.0000,unknown,yes
44.0000,blue-collar,single,primary,no,1593.0000,yes,no,unknown,29.0000,may,828.0000,3.0000,-1.0000,0.0000,unknown,yes
38.0000,technician,married,secondary,no,226.0000,yes,no,unknown,30.0000,may,762.0000,3.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,single,secondary,no,366.0000,yes,yes,unknown,30.0000,may,1133.0000,2.0000,-1.0000,0.0000,unknown,yes
37.0000,management,divorced,secondary,no,16.0000,yes,no,unknown,30.0000,may,638.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,management,single,tertiary,no,565.0000,yes,no,unknown,30.0000,may,763.0000,1.0000,-1.0000,0.0000,unknown,yes
38.0000,admin.,divorced,secondary,no,19.0000,yes,no,unknown,30.0000,may,604.0000,2.0000,-1.0000,0.0000,unknown,yes
40.0000,services,married,primary,no,1082.0000,yes,no,unknown,30.0000,may,854.0000,2.0000,-1.0000,0.0000,unknown,yes
42.0000,unemployed,divorced,secondary,no,1713.0000,yes,no,unknown,30.0000,may,855.0000,2.0000,-1.0000,0.0000,unknown,yes
32.0000,services,married,secondary,no,-34.0000,yes,no,unknown,30.0000,may,1236.0000,2.0000,-1.0000,0.0000,unknown,yes
50.0000,unemployed,married,secondary,no,3674.0000,yes,no,unknown,30.0000,may,886.0000,3.0000,-1.0000,0.0000,unknown,yes
36.0000,technician,single,secondary,no,4136.0000,yes,no,unknown,30.0000,may,812.0000,3.0000,-1.0000,0.0000,unknown,yes
46.0000,management,single,tertiary,no,2904.0000,yes,no,unknown,30.0000,may,984.0000,2.0000,-1.0000,0.0000,unknown,yes
26.0000,management,single,tertiary,no,1004.0000,yes,no,unknown,30.0000,may,228.0000,2.0000,-1.0000,0.0000,unknown,yes
45.0000,technician,single,secondary,no,410.0000,yes,no,unknown,30.0000,may,891.0000,4.0000,-1.0000,0.0000,unknown,yes
27.0000,blue-collar,married,primary,no,416.0000,yes,no,unknown,30.0000,may,1193.0000,2.0000,-1.0000,0.0000,unknown,yes
39.0000,management,married,tertiary,no,2763.0000,yes,no,unknown,2.0000,jun,526.0000,2.0000,-1.0000,0.0000,unknown,yes
36.0000,services,married,secondary,no,2984.0000,yes,no,unknown,2.0000,jun,394.0000,1.0000,-1.0000,0.0000,unknown,yes
41.0000,blue-collar,married,primary,no,143.0000,yes,yes,unknown,2.0000,jun,659.0000,2.0000,-1.0000,0.0000,unknown,yes
36.0000,services,married,primary,no,0.0000,yes,no,unknown,2.0000,jun,1036.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,technician,married,secondary,no,696.0000,yes,no,unknown,2.0000,jun,815.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,services,married,secondary,no,152.0000,yes,no,unknown,2.0000,jun,563.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,management,single,tertiary,no,-78.0000,yes,no,unknown,2.0000,jun,1068.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,management,married,tertiary,no,867.0000,yes,no,unknown,2.0000,jun,230.0000,3.0000,-1.0000,0.0000,unknown,yes
30.0000,blue-collar,single,secondary,no,953.0000,yes,no,unknown,2.0000,jun,747.0000,2.0000,-1.0000,0.0000,unknown,yes
42.0000,blue-collar,married,secondary,no,443.0000,yes,no,unknown,2.0000,jun,671.0000,5.0000,-1.0000,0.0000,unknown,yes
42.0000,technician,single,secondary,yes,-1129.0000,yes,no,unknown,2.0000,jun,555.0000,5.0000,-1.0000,0.0000,unknown,yes
32.0000,blue-collar,married,primary,no,415.0000,yes,no,unknown,2.0000,jun,777.0000,4.0000,-1.0000,0.0000,unknown,yes
44.0000,management,divorced,tertiary,yes,-411.0000,yes,no,unknown,2.0000,jun,432.0000,4.0000,-1.0000,0.0000,unknown,yes
32.0000,technician,single,secondary,no,1279.0000,yes,no,unknown,3.0000,jun,1173.0000,3.0000,-1.0000,0.0000,unknown,yes
31.0000,unemployed,married,secondary,no,86.0000,yes,yes,unknown,3.0000,jun,963.0000,2.0000,-1.0000,0.0000,unknown,yes
40.0000,self-employed,married,secondary,yes,-754.0000,yes,yes,unknown,3.0000,jun,941.0000,3.0000,-1.0000,0.0000,unknown,yes
27.0000,management,single,secondary,no,178.0000,yes,no,unknown,3.0000,jun,732.0000,2.0000,-1.0000,0.0000,unknown,yes
37.0000,services,single,secondary,no,278.0000,yes,no,unknown,3.0000,jun,1045.0000,3.0000,-1.0000,0.0000,unknown,yes
23.0000,services,single,secondary,no,425.0000,yes,no,unknown,3.0000,jun,768.0000,1.0000,-1.0000,0.0000,unknown,yes
25.0000,management,married,primary,no,168.0000,yes,no,unknown,3.0000,jun,801.0000,1.0000,-1.0000,0.0000,unknown,yes
26.0000,blue-collar,single,secondary,yes,-36.0000,yes,no,unknown,3.0000,jun,482.0000,2.0000,-1.0000,0.0000,unknown,yes
45.0000,management,divorced,secondary,no,644.0000,yes,no,unknown,4.0000,jun,633.0000,1.0000,-1.0000,0.0000,unknown,yes
29.0000,services,single,secondary,no,-271.0000,yes,no,unknown,4.0000,jun,578.0000,1.0000,-1.0000,0.0000,unknown,yes
38.0000,blue-collar,married,primary,no,5839.0000,yes,no,unknown,4.0000,jun,984.0000,2.0000,-1.0000,0.0000,unknown,yes
23.0000,blue-collar,single,secondary,no,492.0000,yes,no,unknown,4.0000,jun,638.0000,1.0000,-1.0000,0.0000,unknown,yes
27.0000,management,single,tertiary,no,99.0000,yes,no,unknown,4.0000,jun,767.0000,2.0000,-1.0000,0.0000,unknown,yes
27.0000,management,single,tertiary,yes,-713.0000,yes,no,unknown,4.0000,jun,525.0000,2.0000,-1.0000,0.0000,unknown,yes
29.0000,services,single,secondary,no,32.0000,yes,no,unknown,4.0000,jun,563.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,primary,no,403.0000,yes,no,unknown,4.0000,jun,920.0000,1.0000,-1.0000,0.0000,unknown,yes
35.0000,admin.,divorced,secondary,no,437.0000,yes,no,unknown,4.0000,jun,908.0000,1.0000,-1.0000,0.0000,unknown,yes
36.0000,blue-collar,married,secondary,no,1772.0000,no,no,unknown,5.0000,jun,208.0000,1.0000,-1.0000,0.0000,unknown,yes
59.0000,retired,divorced,primary,no,-88.0000,yes,no,unknown,5.0000,jun,910.0000,2.0000,-1.0000,0.0000,unknown,yes
58.0000,entrepreneur,married,tertiary,no,853.0000,no,no,unknown,5.0000,jun,1149.0000,2.0000,-1.0000,0.0000,unknown,yes
37.0000,management,single,tertiary,no,240.0000,no,no,unknown,5.0000,jun,1123.0000,1.0000,-1.0000,0.0000,unknown,yes
46.0000,admin.,single,secondary,no,849.0000,yes,no,unknown,5.0000,jun,508.0000,2.0000,-1.0000,0.0000,unknown,yes
43.0000,blue-collar,single,secondary,no,318.0000,yes,no,unknown,5.0000,jun,736.0000,2.0000,-1.0000,0.0000,unknown,yes
27.0000,management,single,tertiary,no,703.0000,yes,no,unknown,5.0000,jun,590.0000,3.0000,-1.0000,0.0000,unknown,yes
38.0000,services,divorced,secondary,no,61.0000,no,no,unknown,5.0000,jun,636.0000,1.0000,-1.0000,0.0000,unknown,yes
53.0000,housemaid,married,primary,no,104.0000,no,yes,unknown,5.0000,jun,701.0000,1.0000,-1.0000,0.0000,unknown,yes
47.0000,blue-collar,married,secondary,no,1996.0000,no,no,unknown,5.0000,jun,761.0000,2.0000,-1.0000,0.0000,unknown,yes
41.0000,housemaid,married,secondary,no,879.0000,no,no,unknown,5.0000,jun,1053.0000,2.0000,-1.0000,0.0000,unknown,yes
